Slovenja,title,t
pesmi,category,pesmi
priloznostne_pesmi,category,priloznostne_pesmi
slovenska_knjizevnost,category,slovenska_knjizevnost
Jovan Vesel Koseski,author,Jovan Vesel Koseski
19,century,19
Memento mori,title,Memento Mori
france_preseren,author,France Prešeren
poezije,title,Poezije
Kons: ABC,title,Kons: ABC
integrali_26,title,Integrali 26
kosovel,author,Srečko Kosovel
Povodni mož,title,Povodni mož
France Prešeren,author,France Prešeren
Jesensko tiho,title,Jesensko tiho
Kons: mačka,title,Kons: Mačka
Evakuacija duha,title,Evakuacija Duha
Prostituirana kultura,title,Prostituirana Kultura
Pred kapitulacijami,title,Pred Kapitulacijami
Mistična luč teorije,title,Mistična Luč Teorije
Admiral,title,Admiral
Odprite muzeje!,title,Odprite Muzeje!
Sonce se smeje,title,Sonce Se Smeje
Ranocelnikom,title,Ranocelnikom
Na piramidi,title,Na Piramidi
Moj črni tintnik,title,Moj Črni Tintnik
Integrali,title,Integrali
Jaz protestiram,title,Jaz Protestiram
Sonetni venec,title,Sonetni Venec
pesmi_z_akrostihom,genre,pesmi_z_akrostihom
sonetni_venci,genre,sonetni_venci
Nad norišnico,title,Nad Norišnico
